,coal,natural gas,other,hydro
20191016T23Z,175,105,4,0
20191016T22Z,176,104,4,0
20191016T21Z,177,103,4,0
20191016T20Z,175,104,4,0
20191016T19Z,178,104,4,0
20191016T18Z,176,104,4,0
20191016T17Z,190,105,4,0
20191016T16Z,214,104,4,0
20191016T15Z,198,112,4,0
20191016T14Z,178,131,4,0
20191016T13Z,172,131,4,0
20191016T12Z,171,131,4,0
20191016T11Z,144,130,4,0
20191016T10Z,143,125,4,0
20191016T09Z,142,98,4,0
20191016T08Z,144,96,4,0
20191016T07Z,144,98,4,0
20191016T06Z,146,98,4,0
20191016T05Z,194,127,4,0
20191016T04Z,194,127,4,0
20191016T03Z,202,128,4,0
20191016T02Z,228,128,4,0
20191016T01Z,229,128,3,0
20191016T00Z,227,128,4,0
20191015T23Z,221,127,4,0
20191015T22Z,201,128,3,0
20191015T21Z,197,128,4,0
20191015T20Z,200,128,4,0
20191015T19Z,199,127,3,0
20191015T18Z,198,128,4,0
20191015T17Z,198,128,4,0
20191015T16Z,146,127,4,0
20191015T15Z,141,109,3,0
20191015T14Z,142,101,4,0
20191015T13Z,141,101,4,0
20191015T12Z,142,90,3,0
20191015T11Z,142,78,4,0
20191015T10Z,141,74,4,0
20191015T09Z,140,78,4,0
20191015T08Z,138,94,3,0
20191015T07Z,139,95,4,0
20191015T06Z,177,104,4,0
20191015T05Z,193,103,4,0
20191015T04Z,218,104,4,0
20191015T03Z,225,103,3,0
20191015T02Z,225,104,4,0
20191015T01Z,227,103,4,0
20191015T00Z,225,103,3,0
20191014T23Z,226,103,3,0
20191014T22Z,225,114,4,0
20191014T21Z,226,185,3,0
20191014T20Z,229,198,4,0
20191014T19Z,228,198,3,0
20191014T18Z,228,143,3,0
20191014T17Z,232,104,4,0
20191014T16Z,205,104,3,0
20191014T15Z,194,104,3,0
20191014T14Z,181,104,3,0
20191014T13Z,140,104,4,0
20191014T12Z,137,101,3,0
20191014T11Z,138,59,3,0
20191014T10Z,138,59,4,0
20191014T09Z,139,59,3,0
20191014T08Z,140,60,3,0
20191014T07Z,139,66,4,0
20191014T06Z,138,84,3,0
20191014T05Z,151,72,3,0
20191014T04Z,184,137,4,0
20191014T03Z,188,181,3,0
20191014T02Z,202,203,3,0
20191014T01Z,228,206,4,0
20191014T00Z,204,202,3,0
20191013T23Z,199,199,4,0
20191013T22Z,197,199,4,0
20191013T21Z,200,198,4,0
20191013T20Z,209,198,4,0
20191013T19Z,210,198,4,0
20191013T18Z,212,146,4,0
20191013T17Z,197,103,4,0
20191013T16Z,151,104,4,0
20191013T15Z,138,91,4,0
20191013T14Z,137,91,4,0
20191013T13Z,137,91,4,0
20191013T12Z,140,84,4,0
20191013T11Z,141,81,4,0
20191013T10Z,138,74,4,0
20191013T09Z,138,71,4,0
20191013T08Z,140,58,4,0
20191013T07Z,139,59,4,0
20191013T06Z,139,61,4,0
20191013T05Z,163,64,4,0
20191013T04Z,186,73,4,0
20191013T03Z,181,102,4,0
20191013T02Z,196,194,4,0
20191013T01Z,213,197,4,0
20191013T00Z,211,198,4,0
20191012T23Z,212,201,4,0
20191012T22Z,211,209,4,0
20191012T21Z,212,208,4,0
20191012T20Z,211,206,4,0
20191012T19Z,191,209,4,0
20191012T18Z,189,194,4,0
20191012T17Z,191,188,4,0
20191012T16Z,182,124,4,0
20191012T15Z,138,104,4,0
20191012T14Z,141,88,4,0
20191012T13Z,139,88,4,0
20191012T12Z,138,88,3,0
20191012T11Z,138,78,4,0
20191012T10Z,140,71,3,0
20191012T09Z,138,58,4,0
20191012T08Z,140,62,3,0
20191012T07Z,143,78,4,0
20191012T06Z,185,112,3,0
20191012T05Z,195,130,4,0
20191012T04Z,229,186,4,0
20191012T03Z,228,219,4,0
20191012T02Z,227,219,4,0
20191012T01Z,228,223,4,0
20191012T00Z,228,226,4,0
20191011T23Z,227,225,4,0
20191011T22Z,226,225,4,0
20191011T21Z,222,225,4,0
20191011T20Z,193,226,4,0
20191011T19Z,193,225,4,0
20191011T18Z,194,173,4,0
20191011T17Z,194,130,4,0
20191011T16Z,191,131,4,0
20191011T15Z,192,123,4,0
20191011T14Z,192,96,4,0
20191011T13Z,187,100,4,0
20191011T12Z,155,114,4,0
20191011T11Z,141,124,4,0
20191011T10Z,137,95,4,0
20191011T09Z,136,93,4,0
20191011T08Z,138,94,4,0
20191011T07Z,136,94,4,0
20191011T06Z,137,98,4,0
20191011T05Z,135,105,4,0
20191011T04Z,137,286,4,0
20191011T03Z,138,296,4,0
20191011T02Z,135,267,4,0
20191011T01Z,199,304,4,0
20191011T00Z,228,265,4,0
20191010T23Z,228,279,4,0
