,solar,hydro,wind
20191010T13Z,0,5,-4
20191010T12Z,0,4,-6
20191010T11Z,0,4,-4
20191010T10Z,0,4,-5
20191010T09Z,0,38,-4
20191010T08Z,0,45,-6
20191010T07Z,0,46,-5
20191010T06Z,0,40,-1
20191010T05Z,0,25,3
20191010T04Z,0,33,5
20191010T03Z,0,53,3
20191010T02Z,0,50,5
20191010T01Z,0,45,3
20191010T00Z,0,44,16
20191009T23Z,0,46,25
20191009T22Z,0,53,23
20191009T21Z,0,53,20
20191009T20Z,0,60,37
20191009T19Z,0,15,97
20191009T18Z,0,5,180
20191009T17Z,0,5,173
20191009T16Z,0,20,85
20191009T15Z,0,41,73
20191009T14Z,0,24,93
20191009T13Z,0,60,75
20191009T12Z,0,33,100
20191009T11Z,0,5,132
20191009T10Z,0,44,87
20191009T09Z,0,32,116
20191009T08Z,0,11,178
20191009T07Z,0,56,275
20191009T06Z,0,55,366
20191009T05Z,0,55,592
20191009T04Z,0,53,644
20191009T03Z,0,29,706
20191009T02Z,0,18,744
20191009T01Z,0,20,823
20191009T00Z,0,10,851
20191008T23Z,0,10,839
20191008T22Z,0,13,902
20191008T21Z,0,30,873
20191008T20Z,0,30,931
20191008T19Z,0,25,924
20191008T18Z,0,11,921
20191008T17Z,0,44,918
20191008T16Z,0,10,882
20191008T15Z,0,4,899
20191008T14Z,0,4,928
20191008T13Z,0,4,858
20191008T12Z,0,4,897
20191008T11Z,0,13,909
20191008T10Z,0,38,814
20191008T09Z,0,37,859
20191008T08Z,0,33,864
20191008T07Z,0,8,839
20191008T06Z,0,5,775
20191008T05Z,0,29,606
20191008T04Z,0,58,614
20191008T03Z,0,52,798
20191008T02Z,0,50,889
20191008T01Z,0,16,919
20191008T00Z,0,5,907
20191007T23Z,0,5,888
20191007T22Z,0,6,808
20191007T21Z,0,9,689
20191007T20Z,0,47,598
20191007T19Z,0,50,476
20191007T18Z,0,50,429
20191007T17Z,0,43,312
20191007T16Z,0,5,302
20191007T15Z,0,5,278
20191007T14Z,0,6,258
20191007T13Z,0,5,152
20191007T12Z,0,5,76
20191007T11Z,0,5,42
20191007T10Z,0,5,14
20191007T09Z,0,5,2
20191007T08Z,0,7,-1
20191007T07Z,0,62,-3
20191007T06Z,0,62,-4
20191007T05Z,0,62,-1
20191007T04Z,0,62,6
20191007T03Z,0,62,1
20191007T02Z,0,62,1
20191007T01Z,0,61,-1
20191007T00Z,0,40,-2
20191006T23Z,0,46,-5
20191006T22Z,0,37,-3
20191006T21Z,0,29,-5
20191006T20Z,0,10,-4
20191006T19Z,0,10,-4
20191006T18Z,0,10,-6
20191006T17Z,0,15,-2
20191006T16Z,0,15,-2
20191006T15Z,0,16,1
20191006T14Z,0,31,-3
20191006T13Z,0,31,-4
20191006T12Z,0,31,-4
20191006T11Z,0,31,-4
20191006T10Z,0,31,-5
20191006T09Z,0,31,-1
20191006T08Z,0,31,2
20191006T07Z,0,40,24
20191006T06Z,0,29,60
20191006T05Z,0,10,127
20191006T04Z,0,34,162
20191006T03Z,0,33,239
20191006T02Z,0,24,229
20191006T01Z,0,29,149
20191006T00Z,0,35,78
20191005T23Z,0,35,65
20191005T22Z,0,26,93
20191005T21Z,0,19,94
20191005T20Z,0,10,181
20191005T19Z,0,5,276
20191005T18Z,0,4,269
20191005T17Z,0,5,157
20191005T16Z,0,5,210
20191005T15Z,0,6,287
20191005T14Z,0,31,286
20191005T13Z,0,31,312
20191005T12Z,0,26,328
20191005T11Z,0,7,301
20191005T10Z,0,10,251
20191005T09Z,0,10,257
20191005T08Z,0,31,403
20191005T07Z,0,39,456
20191005T06Z,0,27,417
20191005T05Z,0,55,467
20191005T04Z,0,55,541
20191005T03Z,0,51,526
20191005T02Z,0,8,540
20191005T01Z,0,43,554
20191005T00Z,0,30,730
20191004T23Z,0,21,766
20191004T22Z,0,30,686
20191004T21Z,0,30,727
20191004T20Z,0,29,693
20191004T19Z,0,10,644
20191004T18Z,0,13,501
20191004T17Z,0,16,339
20191004T16Z,0,18,348
20191004T15Z,0,18,408
20191004T14Z,0,53,377
20191004T13Z,0,22,454
20191004T12Z,0,21,473
20191004T11Z,0,27,474
20191004T10Z,0,16,530
20191004T09Z,0,57,430
20191004T08Z,0,55,508
20191004T07Z,0,57,340
20191004T06Z,0,57,351
20191004T05Z,0,56,413
20191004T04Z,0,56,525
20191004T03Z,0,25,567
20191004T02Z,0,5,599
20191004T01Z,0,17,420
20191004T00Z,0,37,249
20191003T23Z,0,16,151
20191003T22Z,0,37,161
20191003T21Z,0,8,175
20191003T20Z,0,5,150
20191003T19Z,0,7,92
20191003T18Z,0,25,30
20191003T17Z,0,26,19
20191003T16Z,0,40,31
20191003T15Z,0,54,15
20191003T14Z,0,54,11
20191003T13Z,0,17,2
20191003T12Z,0,10,7
20191003T11Z,0,10,23
20191003T10Z,0,34,4
20191003T09Z,0,35,-3
20191003T08Z,0,35,-5
20191003T07Z,0,50,-4
20191003T06Z,0,58,-3
20191003T05Z,0,56,-5
20191003T04Z,0,51,-3
20191003T03Z,0,43,0
