,Total interchange
20190928T14Z,-8234
20190928T13Z,-7646
20190928T12Z,-7565
20190928T11Z,-7626
20190928T10Z,-7523
20190928T09Z,-7757
20190928T08Z,-7864
20190928T07Z,-8255
20190928T06Z,-8906
20190928T05Z,-10163
20190928T04Z,-10813
20190928T03Z,-11140
20190928T02Z,-10409
20190928T01Z,-7927
20190928T00Z,-6261
20190927T23Z,-5238
20190927T22Z,-4999
20190927T21Z,-5278
20190927T20Z,-5304
20190927T19Z,-5758
20190927T18Z,-6530
20190927T17Z,-7068
20190927T16Z,-7255
20190927T15Z,-9033
20190927T14Z,-9387
20190927T13Z,-8131
20190927T12Z,-7308
20190927T11Z,-7376
20190927T10Z,-7569
20190927T09Z,-8004
20190927T08Z,-8211
20190927T07Z,-8350
20190927T06Z,-8854
20190927T05Z,-10227
20190927T04Z,-10874
20190927T03Z,-11466
20190927T02Z,-11177
20190927T01Z,-10221
20190927T00Z,-8779
20190926T23Z,-8016
20190926T22Z,-7420
20190926T21Z,-7243
20190926T20Z,-7390
20190926T19Z,-7214
20190926T18Z,-7539
20190926T17Z,-7577
20190926T16Z,-8167
20190926T15Z,-9574
20190926T14Z,-10007
20190926T13Z,-8686
20190926T12Z,-8409
20190926T11Z,-8595
20190926T10Z,-9042
20190926T09Z,-9036
20190926T08Z,-8843
20190926T07Z,-9104
20190926T06Z,-9141
20190926T05Z,-9833
20190926T04Z,-9756
20190926T03Z,-10220
20190926T02Z,-10418
20190926T01Z,-10078
20190926T00Z,-9098
20190925T23Z,-9448
20190925T22Z,-8248
20190925T21Z,-7642
20190925T20Z,-7038
20190925T19Z,-7028
20190925T18Z,-6901
20190925T17Z,-6757
20190925T16Z,-7469
20190925T15Z,-9495
20190925T14Z,-9880
20190925T13Z,-8087
20190925T12Z,-7727
20190925T11Z,-7660
20190925T10Z,-7896
20190925T09Z,-7964
20190925T08Z,-8469
20190925T07Z,-8866
20190925T06Z,-9256
20190925T05Z,-9921
20190925T04Z,-10658
20190925T03Z,-10880
20190925T02Z,-11038
20190925T01Z,-9892
20190925T00Z,-7977
20190924T23Z,-7488
20190924T22Z,-6571
20190924T21Z,-5802
20190924T20Z,-6097
20190924T19Z,-5944
20190924T18Z,-6363
20190924T17Z,-6407
20190924T16Z,-7128
20190924T15Z,-8800
20190924T14Z,-9268
20190924T13Z,-8384
20190924T12Z,-8088
20190924T11Z,-7737
20190924T10Z,-7528
20190924T09Z,-7854
20190924T08Z,-8089
20190924T07Z,-8173
20190924T06Z,-8416
20190924T05Z,-9442
20190924T04Z,-9957
20190924T03Z,-10176
20190924T02Z,-10084
20190924T01Z,-8904
